Choice,Payoff
7,0.1
7,0.1
7,0.1
1,0.7
1,0.7
7,1.3
7,1.3
7,1.3
7,1.3
7,1.3
1,0.7
7,0.1
3,0.5
4,0.4
5,0.3
4,0.4
1,0.7
7,0.1
4,0.4
7,0.1
7,0.5
7,0.5
3,0.9
7,0.5
7,0.5
7,0.7
7,0.7
5,0.9
7,0.7
4,1.0
1,0.7
5,0.3
7,0.1
7,0.1
7,0.1
4,0.6
4,0.6
6,0.4
2,0.8
6,0.4
7,0.5
7,0.5
6,0.6
4,0.8
3,0.9
1,0.7
7,0.1
7,0.1
4,0.4
6,0.2
6,0.2
6,0.2
6,0.2
1,0.7
4,0.4
7,0.1
1,0.7
7,0.1
7,0.1
7,0.1
1,0.7
7,0.1
7,0.1
1,0.7
5,0.3
7,0.1
7,0.1
7,0.1
1,0.7
7,0.1
2,0.8
7,0.3
7,0.3
7,0.3
7,0.3
7,0.1
7,0.1
7,0.1
1,0.7
7,0.1
7,0.1
7,0.1
7,0.1
1,0.7
4,0.4
7,0.1
1,0.7
7,0.1
2,0.6
4,0.4
4,1.0
7,0.7
6,0.8
5,0.9
4,1.0
3,0.5
1,0.7
7,0.1
7,0.1
5,0.3
4,0.4
6,0.2
1,0.7
5,0.3
4,0.4
3,0.5
7,0.1
7,0.1
1,0.7
5,0.3
7,0.1
7,0.1
3,0.5
1,0.7
7,0.1
7,0.7
4,1.0
4,1.0
4,1.0
7,0.7
1,0.7
1,0.7
7,0.1
7,0.1
4,0.4
7,0.1
7,0.1
1,0.7
7,0.1
7,0.1
5,0.7
4,0.8
3,0.9
7,0.5
7,0.5
7,0.5
3,0.9
7,0.5
3,0.9
4,0.8
1,0.7
2,0.6
4,0.4
4,0.4
1,0.7
7,0.7
4,1.0
7,0.7
7,0.7
6,0.8
4,1.0
4,1.0
7,0.7
7,0.7
7,0.7
4,1.0
7,0.7
7,0.7
6,0.8
7,0.7
7,0.1
3,0.5
5,0.3
1,0.7
7,0.1
7,0.5
7,0.5
7,0.5
3,0.9
7,0.5
7,0.7
4,1.0
7,0.7
7,0.7
6,0.8
